Gene/Build	Transcript/Chr	Region	Amplicon	Start Pos	End Pos	Chromosome	GRCh37 Genomic ID	GRCh37 Genomic Start	GRCh37 Genomic End
APC	NM_000038.4	Exon 15	15	c.1959-15	c.*15	5	NC_000005.9	112173235	112179838
APOB	NM_000384.2	Exon 01	01	c.-15	c.82+15	2	NC_000002.11	21266832	21266721
APOB	NM_000384.2	Exon 02	02	c.83-15	c.121+15	2	NC_000002.11	21266438	21266370
APOB	NM_000384.2	Exon 03	03	c.122-15	c.237+15	2	NC_000002.11	21265363	21265218
APOB	NM_000384.2	Exon 04	04	c.238-15	c.383+15	2	NC_000002.11	21263970	21263795
APOB	NM_000384.2	Exon 05	05	c.384-15	c.537+15	2	NC_000002.11	21260998	21260815
APOB	NM_000384.2	Exon 06	06	c.538-15	c.693+15	2	NC_000002.11	21260142	21259957
APOB	NM_000384.2	Exon 07	07	c.694-15	c.818+15	2	NC_000002.11	21258595	21258441
APOB	NM_000384.2	Exon 08	08	c.819-15	c.904+15	2	NC_000002.11	21257788	21257673
APOB	NM_000384.2	Exon 09	09	c.905-15	c.1124+15	2	NC_000002.11	21256405	21256156
APOB	NM_000384.2	Exon 10	10	c.1125-15	c.1352+15	2	NC_000002.11	21255468	21255211
APOB	NM_000384.2	Exon 11	11	c.1353-15	c.1470+15	2	NC_000002.11	21252902	21252755
APOB	NM_000384.2	Exon 12	12	c.1471-15	c.1617+15	2	NC_000002.11	21252672	21252496
APOB	NM_000384.2	Exon 13	13	c.1618-15	c.1829+15	2	NC_000002.11	21251425	21251184
APOB	NM_000384.2	Exon 14	14	c.1830-15	c.2067+15	2	NC_000002.11	21250952	21250685
APOB	NM_000384.2	Exon 15	15	c.2068-15	c.2244+15	2	NC_000002.11	21249851	21249645
APOB	NM_000384.2	Exon 16	16	c.2245-15	c.2436+15	2	NC_000002.11	21248011	21247790
APOB	NM_000384.2	Exon 17	17	c.2437-15	c.2604+15	2	NC_000002.11	21246579	21246382
APOB	NM_000384.2	Exon 18	18	c.2605-15	c.2816+15	2	NC_000002.11	21245929	21245688
APOB	NM_000384.2	Exon 19	19	c.2817-15	c.2999+15	2	NC_000002.11	21242792	21242580
APOB	NM_000384.2	Exon 20	20	c.3000-15	c.3121+15	2	NC_000002.11	21242000	21241849
APOB	NM_000384.2	Exon 21	21	c.3122-15	c.3332+15	2	NC_000002.11	21239536	21239296
APOB	NM_000384.2	Exon 22	22	c.3333-15	c.3508+15	2	NC_000002.11	21238432	21238227
APOB	NM_000384.2	Exon 23	23	c.3509-15	c.3696+15	2	NC_000002.11	21238147	21237930
APOB	NM_000384.2	Exon 24	24	c.3697-15	c.3842+15	2	NC_000002.11	21237480	21237305
APOB	NM_000384.2	Exon 25	25	c.3843-15	c.4216+15	2	NC_000002.11	21236420	21236017
APOB	NM_000384.2	Exon 26	26	c.4217-15	c.11788+15	2	NC_000002.11	21235538	21227937
APOB	NM_000384.2	Exon 27	27	c.11789-15	c.11903+15	2	NC_000002.11	21227562	21227418
APOB	NM_000384.2	Exon 28	28	c.11904-15	c.12087+15	2	NC_000002.11	21227339	21227126
APOB	NM_000384.2	Exon 29	29	c.12088-15	c.*15	2	NC_000002.11	21226221	21224587
BRCA1	NM_007294.3	Exon 02A	02A	c.-15	c.80+15	17	NC_000017.10	41276128	41276019
BRCA1	NM_007294.3	Exon 03A	03A	c.81-15	c.134+15	17	NC_000017.10	41267811	41267728
BRCA1	NM_007294.3	Exon 04A	04A	c.135-15	c.212+15	17	NC_000017.10	41258565	41258458
BRCA1	NM_007294.3	Exon 05A	05A	c.213-15	c.301+15	17	NC_000017.10	41256988	41256870
BRCA1	NM_007294.3	Exon 06A	06A	c.302-15	c.441+15	17	NC_000017.10	41256293	41256124
BRCA1	NM_007294.3	Exon 07A	07A	c.442-15	c.547+15	17	NC_000017.10	41251912	41251777
BRCA1	NM_007294.3	Exon 08A	08A	c.548-15	c.593+15	17	NC_000017.10	41249321	41249246
BRCA1	NM_007294.3	Exon 09A	09A	c.594-15	c.670+15	17	NC_000017.10	41247954	41247848
BRCA1	NM_007294.3	Exon 10A	10A	c.671-15	c.4096+15	17	NC_000017.10	41246892	41243437
BRCA1	NM_007294.3	Exon 11A	11A	c.4097-15	c.4185+15	17	NC_000017.10	41243064	41242946
BRCA1	NM_007294.3	Exon 12A	12A	c.4186-15	c.4357+15	17	NC_000017.10	41234607	41234406
BRCA1	NM_007294.3	Exon 13A	13A	c.4358-15	c.4484+15	17	NC_000017.10	41228646	41228490
BRCA1	NM_007294.3	Exon 14A	14A	c.4485-15	c.4675+15	17	NC_000017.10	41226553	41226333
BRCA1	NM_007294.3	Exon 15A	15A	c.4676-15	c.4986+15	17	NC_000017.10	41223270	41222930
BRCA1	NM_007294.3	Exon 16A	16A	c.4987-15	c.5074+15	17	NC_000017.10	41219727	41219610
BRCA1	NM_007294.3	Exon 17A	17A	c.5075-15	c.5152+15	17	NC_000017.10	41215983	41215876
BRCA1	NM_007294.3	Exon 18A	18A	c.5153-15	c.5193+15	17	NC_000017.10	41215405	41215335
BRCA1	NM_007294.3	Exon 19A	19A	c.5194-15	c.5277+15	17	NC_000017.10	41209167	41209054
BRCA1	NM_007294.3	Exon 20A	20A	c.5278-15	c.5332+15	17	NC_000017.10	41203149	41203065
BRCA1	NM_007294.3	Exon 21A	21A	c.5333-15	c.5406+15	17	NC_000017.10	41201226	41201123
BRCA1	NM_007294.3	Exon 22A	22A	c.5407-15	c.5467+15	17	NC_000017.10	41199735	41199645
BRCA1	NM_007294.3	Exon 23A	23A	c.5468-15	c.*15	17	NC_000017.10	41197834	41197680
BRCA1	NM_007300.3	Exon 13	13	c.4358-15	c.4423+15	17	NC_000017.10	41231431	41231336
BRCA2	NM_000059.3	Exon 02	02	c.-15	c.67+15	13	NC_000013.10	32890583	32890679
BRCA2	NM_000059.3	Exon 03	03	c.68-15	c.316+15	13	NC_000013.10	32893199	32893477
BRCA2	NM_000059.3	Exon 04	04	c.317-15	c.425+15	13	NC_000013.10	32899198	32899336
BRCA2	NM_000059.3	Exon 05	05	c.426-15	c.475+15	13	NC_000013.10	32900223	32900302
BRCA2	NM_000059.3	Exon 06	06	c.476-15	c.516+15	13	NC_000013.10	32900364	32900434
BRCA2	NM_000059.3	Exon 07	07	c.517-15	c.631+15	13	NC_000013.10	32900621	32900765
BRCA2	NM_000059.3	Exon 08	08	c.632-15	c.681+15	13	NC_000013.10	32903565	32903644
BRCA2	NM_000059.3	Exon 09	09	c.682-15	c.793+15	13	NC_000013.10	32905041	32905182
BRCA2	NM_000059.3	Exon 10	10	c.794-15	c.1909+15	13	NC_000013.10	32906394	32907539
BRCA2	NM_000059.3	Exon 11	11	c.1910-15	c.6841+15	13	NC_000013.10	32910387	32915348
BRCA2	NM_000059.3	Exon 12	12	c.6842-15	c.6937+15	13	NC_000013.10	32918680	32918805
BRCA2	NM_000059.3	Exon 13	13	c.6938-15	c.7007+15	13	NC_000013.10	32920949	32921048
BRCA2	NM_000059.3	Exon 14	14	c.7008-15	c.7435+15	13	NC_000013.10	32928983	32929440
BRCA2	NM_000059.3	Exon 15	15	c.7436-15	c.7617+15	13	NC_000013.10	32930550	32930761
BRCA2	NM_000059.3	Exon 16	16	c.7618-15	c.7805+15	13	NC_000013.10	32931864	32932081
BRCA2	NM_000059.3	Exon 17	17	c.7806-15	c.7976+15	13	NC_000013.10	32936645	32936845
BRCA2	NM_000059.3	Exon 18	18	c.7977-15	c.8331+15	13	NC_000013.10	32937301	32937685
BRCA2	NM_000059.3	Exon 19	19	c.8332-15	c.8487+15	13	NC_000013.10	32944524	32944709
BRCA2	NM_000059.3	Exon 20	20	c.8488-15	c.8632+15	13	NC_000013.10	32945078	32945252
BRCA2	NM_000059.3	Exon 21	21	c.8633-15	c.8754+15	13	NC_000013.10	32950792	32950943
BRCA2	NM_000059.3	Exon 22	22	c.8755-15	c.8953+15	13	NC_000013.10	32953439	32953667
BRCA2	NM_000059.3	Exon 23	23	c.8954-15	c.9117+15	13	NC_000013.10	32953872	32954065
BRCA2	NM_000059.3	Exon 24	24	c.9118-15	c.9256+15	13	NC_000013.10	32954129	32954297
BRCA2	NM_000059.3	Exon 25	25	c.9257-15	c.9501+15	13	NC_000013.10	32968811	32969085
BRCA2	NM_000059.3	Exon 26	26	c.9502-15	c.9648+15	13	NC_000013.10	32971020	32971196
BRCA2	NM_000059.3	Exon 27	27	c.9649-15	c.*15	13	NC_000013.10	32972284	32972922
CACNA1S	NM_000069.2	Exon 01	01	c.-15	c.152+15	1	NC_000001.10	201081482	201081301
CACNA1S	NM_000069.2	Exon 02	02	c.153-15	c.258+15	1	NC_000001.10	201079412	201079277
CACNA1S	NM_000069.2	Exon 03	03	c.259-15	c.398+15	1	NC_000001.10	201063164	201062995
CACNA1S	NM_000069.2	Exon 04	04	c.399-15	c.541+15	1	NC_000001.10	201061257	201061085
CACNA1S	NM_000069.2	Exon 05	05	c.542-15	c.694+15	1	NC_000001.10	201060935	201060753
CACNA1S	NM_000069.2	Exon 06	06	c.695-15	c.900+15	1	NC_000001.10	201058606	201058371
CACNA1S	NM_000069.2	Exon 07	07	c.901-15	c.1004+15	1	NC_000001.10	201057072	201056939
CACNA1S	NM_000069.2	Exon 08	08	c.1005-15	c.1150+15	1	NC_000001.10	201054724	201054549
CACNA1S	NM_000069.2	Exon 09	09	c.1151-15	c.1232+15	1	NC_000001.10	201054174	201054063
CACNA1S	NM_000069.2	Exon 10	10	c.1233-15	c.1393+15	1	NC_000001.10	201052465	201052275
CACNA1S	NM_000069.2	Exon 11	11	c.1394-15	c.1619+15	1	NC_000001.10	201047247	201046992
CACNA1S	NM_000069.2	Exon 12	12	c.1620-15	c.1827+15	1	NC_000001.10	201046270	201046033
CACNA1S	NM_000069.2	Exon 13	13	c.1828-15	c.1948+15	1	NC_000001.10	201044758	201044608
CACNA1S	NM_000069.2	Exon 14	14	c.1949-15	c.2063+15	1	NC_000001.10	201043763	201043619
CACNA1S	NM_000069.2	Exon 15	15	c.2064-15	c.2157+15	1	NC_000001.10	201042785	201042662
CACNA1S	NM_000069.2	Exon 16	16	c.2158-15	c.2227+15	1	NC_000001.10	201041967	201041868
CACNA1S	NM_000069.2	Exon 17	17	c.2228-15	c.2360+15	1	NC_000001.10	201039547	201039385
CACNA1S	NM_000069.2	Exon 18	18	c.2361-15	c.2490+15	1	NC_000001.10	201038744	201038585
CACNA1S	NM_000069.2	Exon 19	19	c.2491-15	c.2550+15	1	NC_000001.10	201038339	201038250
CACNA1S	NM_000069.2	Exon 20	20	c.2551-15	c.2657+15	1	NC_000001.10	201036136	201036000
CACNA1S	NM_000069.2	Exon 21	21	c.2658-15	c.2745+15	1	NC_000001.10	201035459	201035342
CACNA1S	NM_000069.2	Exon 22	22	c.2746-15	c.2853+15	1	NC_000001.10	201035088	201034951
CACNA1S	NM_000069.2	Exon 23	23	c.2854-15	c.2906+15	1	NC_000001.10	201031657	201031575
CACNA1S	NM_000069.2	Exon 24	24	c.2907-15	c.3053+15	1	NC_000001.10	201031233	201031057
CACNA1S	NM_000069.2	Exon 25	25	c.3054-15	c.3255+15	1	NC_000001.10	201030611	201030380
CACNA1S	NM_000069.2	Exon 26	26	c.3256-15	c.3414+15	1	NC_000001.10	201029959	201029771
CACNA1S	NM_000069.2	Exon 27	27	c.3415-15	c.3525+15	1	NC_000001.10	201028442	201028302
CACNA1S	NM_000069.2	Exon 28	28	c.3526-15	c.3609+15	1	NC_000001.10	201027634	201027521
CACNA1S	NM_000069.2	Exon 29	29	c.3610-15	c.3666+15	1	NC_000001.10	201023704	201023618
CACNA1S	NM_000069.2	Exon 30	30	c.3667-15	c.3795+15	1	NC_000001.10	201022730	201022572
CACNA1S	NM_000069.2	Exon 31	31	c.3796-15	c.3861+15	1	NC_000001.10	201022417	201022322
CACNA1S	NM_000069.2	Exon 32	32	c.3862-15	c.3953+15	1	NC_000001.10	201021791	201021670
CACNA1S	NM_000069.2	Exon 33	33	c.3954-15	c.4113+15	1	NC_000001.10	201020286	201020097
CACNA1S	NM_000069.2	Exon 34	34	c.4114-15	c.4241+15	1	NC_000001.10	201019659	201019502
CACNA1S	NM_000069.2	Exon 35	35	c.4242-15	c.4338+15	1	NC_000001.10	201018242	201018116
CACNA1S	NM_000069.2	Exon 36	36	c.4339-15	c.4441+15	1	NC_000001.10	201017827	201017695
CACNA1S	NM_000069.2	Exon 37	37	c.4442-15	c.4543+15	1	NC_000001.10	201016769	201016638
CACNA1S	NM_000069.2	Exon 38	38	c.4544-15	c.4668+15	1	NC_000001.10	201016382	201016228
CACNA1S	NM_000069.2	Exon 39	39	c.4669-15	c.4797+15	1	NC_000001.10	201013599	201013441
CACNA1S	NM_000069.2	Exon 40	40	c.4798-15	c.5048+15	1	NC_000001.10	201012674	201012394
CACNA1S	NM_000069.2	Exon 41	41	c.5049-15	c.5134+15	1	NC_000001.10	201010732	201010617
CACNA1S	NM_000069.2	Exon 42	42	c.5135-15	c.5226+15	1	NC_000001.10	201009856	201009735
CACNA1S	NM_000069.2	Exon 43	43	c.5227-15	c.5370+15	1	NC_000001.10	201009517	201009344
CACNA1S	NM_000069.2	Exon 44	44	c.5371-15	c.*15	1	NC_000001.10	201009225	201008944
COL3A1	NM_000090.3	Exon 01	01	c.-15	c.79+15	2	NC_000002.11	189839201	189839309
COL3A1	NM_000090.3	Exon 02	02	c.80-15	c.282+15	2	NC_000002.11	189849471	189849703
COL3A1	NM_000090.3	Exon 03	03	c.283-15	c.333+15	2	NC_000002.11	189849908	189849988
COL3A1	NM_000090.3	Exon 04	04	c.334-15	c.447+15	2	NC_000002.11	189850376	189850519
COL3A1	NM_000090.3	Exon 05	05	c.448-15	c.528+15	2	NC_000002.11	189851770	189851880
COL3A1	NM_000090.3	Exon 06	06	c.529-15	c.582+15	2	NC_000002.11	189852792	189852875
COL3A1	NM_000090.3	Exon 07	07	c.583-15	c.636+15	2	NC_000002.11	189853301	189853384
COL3A1	NM_000090.3	Exon 08	08	c.637-15	c.690+15	2	NC_000002.11	189854107	189854190
COL3A1	NM_000090.3	Exon 09	09	c.691-15	c.744+15	2	NC_000002.11	189854807	189854890
COL3A1	NM_000090.3	Exon 10	10	c.745-15	c.798+15	2	NC_000002.11	189855018	189855101
COL3A1	NM_000090.3	Exon 11	11	c.799-15	c.852+15	2	NC_000002.11	189855715	189855798
COL3A1	NM_000090.3	Exon 12	12	c.853-15	c.897+15	2	NC_000002.11	189856198	189856272
COL3A1	NM_000090.3	Exon 13	13	c.898-15	c.951+15	2	NC_000002.11	189856380	189856463
COL3A1	NM_000090.3	Exon 14	14	c.952-15	c.996+15	2	NC_000002.11	189856895	189856969
COL3A1	NM_000090.3	Exon 15	15	c.997-15	c.1050+15	2	NC_000002.11	189857598	189857681
COL3A1	NM_000090.3	Exon 16	16	c.1051-15	c.1149+15	2	NC_000002.11	189858072	189858200
COL3A1	NM_000090.3	Exon 17	17	c.1150-15	c.1194+15	2	NC_000002.11	189858749	189858823
COL3A1	NM_000090.3	Exon 18	18	c.1195-15	c.1293+15	2	NC_000002.11	189858945	189859073
COL3A1	NM_000090.3	Exon 19	19	c.1294-15	c.1347+15	2	NC_000002.11	189859252	189859335
COL3A1	NM_000090.3	Exon 20	20	c.1348-15	c.1455+15	2	NC_000002.11	189859435	189859572
COL3A1	NM_000090.3	Exon 21	21	c.1456-15	c.1509+15	2	NC_000002.11	189859757	189859840
COL3A1	NM_000090.3	Exon 22	22	c.1510-15	c.1608+15	2	NC_000002.11	189860403	189860531
COL3A1	NM_000090.3	Exon 23	23	c.1609-15	c.1662+15	2	NC_000002.11	189860836	189860919
COL3A1	NM_000090.3	Exon 24	24	c.1663-15	c.1761+15	2	NC_000002.11	189861109	189861237
COL3A1	NM_000090.3	Exon 25	25	c.1762-15	c.1815+15	2	NC_000002.11	189861876	189861959
COL3A1	NM_000090.3	Exon 26	26	c.1816-15	c.1869+15	2	NC_000002.11	189862047	189862130
COL3A1	NM_000090.3	Exon 27	27	c.1870-15	c.1923+15	2	NC_000002.11	189862411	189862494
COL3A1	NM_000090.3	Exon 28	28	c.1924-15	c.1977+15	2	NC_000002.11	189862977	189863060
COL3A1	NM_000090.3	Exon 29	29	c.1978-15	c.2022+15	2	NC_000002.11	189863385	189863459
COL3A1	NM_000090.3	Exon 30	30	c.2023-15	c.2121+15	2	NC_000002.11	189863996	189864124
COL3A1	NM_000090.3	Exon 31	31	c.2122-15	c.2229+15	2	NC_000002.11	189864181	189864318
COL3A1	NM_000090.3	Exon 32	32	c.2230-15	c.2283+15	2	NC_000002.11	189864553	189864636
COL3A1	NM_000090.3	Exon 33	33	c.2284-15	c.2337+15	2	NC_000002.11	189866108	189866191
COL3A1	NM_000090.3	Exon 34	34	c.2338-15	c.2391+15	2	NC_000002.11	189866247	189866330
COL3A1	NM_000090.3	Exon 35	35	c.2392-15	c.2445+15	2	NC_000002.11	189867009	189867092
COL3A1	NM_000090.3	Exon 36	36	c.2446-15	c.2553+15	2	NC_000002.11	189867666	189867803
COL3A1	NM_000090.3	Exon 37	37	c.2554-15	c.2607+15	2	NC_000002.11	189868122	189868205
COL3A1	NM_000090.3	Exon 38	38	c.2608-15	c.2661+15	2	NC_000002.11	189868445	189868528
COL3A1	NM_000090.3	Exon 39	39	c.2662-15	c.2823+15	2	NC_000002.11	189868693	189868884
COL3A1	NM_000090.3	Exon 40	40	c.2824-15	c.2931+15	2	NC_000002.11	189868968	189869105
COL3A1	NM_000090.3	Exon 41	41	c.2932-15	c.3039+15	2	NC_000002.11	189870061	189870198
COL3A1	NM_000090.3	Exon 42	42	c.3040-15	c.3093+15	2	NC_000002.11	189870917	189871000
COL3A1	NM_000090.3	Exon 43	43	c.3094-15	c.3201+15	2	NC_000002.11	189871056	189871193
COL3A1	NM_000090.3	Exon 44	44	c.3202-15	c.3255+15	2	NC_000002.11	189871648	189871731
COL3A1	NM_000090.3	Exon 45	45	c.3256-15	c.3363+15	2	NC_000002.11	189872211	189872348
COL3A1	NM_000090.3	Exon 46	46	c.3364-15	c.3417+15	2	NC_000002.11	189872596	189872679
COL3A1	NM_000090.3	Exon 47	47	c.3418-15	c.3525+15	2	NC_000002.11	189872746	189872883
COL3A1	NM_000090.3	Exon 48	48	c.3526-15	c.3823+15	2	NC_000002.11	189873635	189873962
COL3A1	NM_000090.3	Exon 49	49	c.3824-15	c.4011+15	2	NC_000002.11	189874889	189875106
COL3A1	NM_000090.3	Exon 50	50	c.4012-15	c.4254+15	2	NC_000002.11	189875359	189875631
COL3A1	NM_000090.3	Exon 51	51	c.4255-15	c.*15	2	NC_000002.11	189876339	189876515
DSC2	NM_004949.3	Exon 15B	15B	c.2509-15	c.*10+5	18	NC_000018.9	28648325	28648260
DSC2	NM_024422.3	Exon 01	01	c.-15	c.69+15	18	NC_000018.9	28681949	28681851
DSC2	NM_024422.3	Exon 02	02	c.70-15	c.154+15	18	NC_000018.9	28673621	28673507
DSC2	NM_024422.3	Exon 03	03	c.155-15	c.354+15	18	NC_000018.9	28672278	28672049
DSC2	NM_024422.3	Exon 04	04	c.355-15	c.474+15	18	NC_000018.9	28671125	28670976
DSC2	NM_024422.3	Exon 05	05	c.475-15	c.630+15	18	NC_000018.9	28669572	28669387
DSC2	NM_024422.3	Exon 06	06	c.631-15	c.775+15	18	NC_000018.9	28667791	28667617
DSC2	NM_024422.3	Exon 07	07	c.776-15	c.942+15	18	NC_000018.9	28666720	28666524
DSC2	NM_024422.3	Exon 08	08	c.943-15	c.1077+15	18	NC_000018.9	28663041	28662877
DSC2	NM_024422.3	Exon 09	09	c.1078-15	c.1263+15	18	NC_000018.9	28662404	28662189
DSC2	NM_024422.3	Exon 10	10	c.1264-15	c.1520+15	18	NC_000018.9	28660333	28660047
DSC2	NM_024422.3	Exon 11	11	c.1521-15	c.1663+15	18	NC_000018.9	28659970	28659798
DSC2	NM_024422.3	Exon 12	12	c.1664-15	c.1888+15	18	NC_000018.9	28654888	28654634
DSC2	NM_024422.3	Exon 13	13	c.1889-15	c.2125+15	18	NC_000018.9	28651822	28651556
DSC2	NM_024422.3	Exon 14	14	c.2126-15	c.2250+15	18	NC_000018.9	28650831	28650677
DSC2	NM_024422.3	Exon 15A	15A	c.2251-15	c.2508+15	18	NC_000018.9	28649132	28648845
DSC2	NM_024422.3	Exon 16	16	c.2509-15	c.*15	18	NC_000018.9	28648193	28647966
DSG2	NM_001943.3	Exon 01	01	c.-15	c.45+15	18	NC_000018.9	29078200	29078274
DSG2	NM_001943.3	Exon 02	02	c.46-15	c.81+15	18	NC_000018.9	29098187	29098252
DSG2	NM_001943.3	Exon 03	03	c.82-15	c.216+15	18	NC_000018.9	29099751	29099915
DSG2	NM_001943.3	Exon 04	04	c.217-15	c.378+15	18	NC_000018.9	29100751	29100942
DSG2	NM_001943.3	Exon 05	05	c.379-15	c.523+15	18	NC_000018.9	29101047	29101221
DSG2	NM_001943.3	Exon 06	06	c.524-15	c.690+15	18	NC_000018.9	29102031	29102227
DSG2	NM_001943.3	Exon 07	07	c.691-15	c.828+15	18	NC_000018.9	29104396	29104563
DSG2	NM_001943.3	Exon 08	08	c.829-15	c.1014+15	18	NC_000018.9	29104651	29104866
DSG2	NM_001943.3	Exon 09	09	c.1015-15	c.1280+15	18	NC_000018.9	29110935	29111230
DSG2	NM_001943.3	Exon 10	10	c.1281-15	c.1423+15	18	NC_000018.9	29115218	29115390
DSG2	NM_001943.3	Exon 11	11	c.1424-15	c.1651+15	18	NC_000018.9	29116150	29116407
DSG2	NM_001943.3	Exon 12	12	c.1652-15	c.1879+15	18	NC_000018.9	29118699	29118956
DSG2	NM_001943.3	Exon 13	13	c.1880-15	c.2001+15	18	NC_000018.9	29121141	29121292
DSG2	NM_001943.3	Exon 14	14	c.2002-15	c.2334+15	18	NC_000018.9	29122468	29122830
DSG2	NM_001943.3	Exon 15	15	c.2335-15	c.*15	18	NC_000018.9	29125669	29126721
DSP	NM_004415.2	Exon 01	01	c.-15	c.170+15	6	NC_000006.11	7542134	7542333
DSP	NM_004415.2	Exon 02	02	c.171-15	c.273+15	6	NC_000006.11	7555936	7556068
DSP	NM_004415.2	Exon 03	03	c.274-15	c.422+15	6	NC_000006.11	7558334	7558512
DSP	NM_004415.2	Exon 04	04	c.423-15	c.597+15	6	NC_000006.11	7559444	7559648
DSP	NM_004415.2	Exon 05	05	c.598-15	c.726+15	6	NC_000006.11	7562870	7563028
DSP	NM_004415.2	Exon 06	06	c.727-15	c.777+15	6	NC_000006.11	7563954	7564034
DSP	NM_004415.2	Exon 07	07	c.778-15	c.939+15	6	NC_000006.11	7565577	7565768
DSP	NM_004415.2	Exon 08	08	c.940-15	c.1044+15	6	NC_000006.11	7566595	7566729
DSP	NM_004415.2	Exon 09	09	c.1045-15	c.1140+15	6	NC_000006.11	7567572	7567697
DSP	NM_004415.2	Exon 10	10	c.1141-15	c.1266+15	6	NC_000006.11	7567999	7568154
DSP	NM_004415.2	Exon 11	11	c.1267-15	c.1419+15	6	NC_000006.11	7568655	7568837
DSP	NM_004415.2	Exon 12	12	c.1420-15	c.1574+15	6	NC_000006.11	7569404	7569588
DSP	NM_004415.2	Exon 13	13	c.1575-15	c.1701+15	6	NC_000006.11	7570655	7570811
DSP	NM_004415.2	Exon 14	14	c.1702-15	c.1903+15	6	NC_000006.11	7571601	7571832
DSP	NM_004415.2	Exon 15	15	c.1904-15	c.2130+15	6	NC_000006.11	7572060	7572316
DSP	NM_004415.2	Exon 16	16	c.2131-15	c.2297+15	6	NC_000006.11	7574304	7574500
DSP	NM_004415.2	Exon 17	17	c.2298-15	c.2436+15	6	NC_000006.11	7574875	7575043
DSP	NM_004415.2	Exon 18	18	c.2437-15	c.2630+15	6	NC_000006.11	7575513	7575736
DSP	NM_004415.2	Exon 19	19	c.2631-15	c.2793+15	6	NC_000006.11	7576512	7576704
DSP	NM_004415.2	Exon 20	20	c.2794-15	c.2877+15	6	NC_000006.11	7577177	7577290
DSP	NM_004415.2	Exon 21	21	c.2878-15	c.2985+15	6	NC_000006.11	7577997	7578134
DSP	NM_004415.2	Exon 22	22	c.2986-15	c.3084+15	6	NC_000006.11	7578682	7578810
DSP	NM_004415.2	Exon 23	23	c.3085-15	c.5379+15	6	NC_000006.11	7579493	7581817
DSP	NM_004415.2	Exon 24	24	c.5380-15	c.*15	6	NC_000006.11	7582860	7586126
FBN1	NM_000138.4	Exon 01	01	c.-15	c.164+15	15	NC_000015.9	48936981	48936788
FBN1	NM_000138.4	Exon 02	02	c.165-15	c.247+15	15	NC_000015.9	48905304	48905192
FBN1	NM_000138.4	Exon 03	03	c.248-15	c.346+15	15	NC_000015.9	48903038	48902910
FBN1	NM_000138.4	Exon 04	04	c.347-15	c.442+15	15	NC_000015.9	48892446	48892321
